project_id,対象種別：アカウント／投稿／サイト／リポジトリ／製品,対象IDまたはURL,指標名,値,単位,対象期間の開始と終了,数値の取得日時,データ取得元,確認状態,補足
oathra,リポジトリ,https://github.com/FORIFOR/oathra,GitHubスター,0,star,累計（2026-09-14時点）,2026-09-14 23:52 JST,GitHub REST repo API,確認済み,0件であることを確認
oathra,リポジトリ,https://github.com/FORIFOR/oathra,フォーク,0,fork,累計,2026-09-14 23:52 JST,GitHub REST repo API,確認済み,0件であることを確認
oathra,リポジトリ,https://github.com/FORIFOR/oathra,GitHub表示（14日API集計）,9,view,2026-08-31〜2026-09-13,2026-09-14 23:52 JST,repos/FORIFOR/oathra/traffic/views,確認済み,訪問者の帰属不明
oathra,リポジトリ,https://github.com/FORIFOR/oathra,GitHubユニーク訪問者（14日）,9,unique visitor,2026-08-31〜2026-09-13,2026-09-14 23:52 JST,GitHub traffic API,確認済み,日跨ぎ重複除去済み。誰が見たか不明
oathra,リポジトリ,https://github.com/FORIFOR/oathra,GitHub表示（日別合計）,9,view,2026-09-07〜2026-09-13,2026-09-14 23:52 JST,GitHub daily buckets,確認済み（導出）,7日ユニークは取得不可
oathra,リポジトリ,https://github.com/FORIFOR/oathra,GitHubユニーク（日別合計）,9,daily unique sum,2026-09-07〜2026-09-13,2026-09-14 23:52 JST,GitHub daily buckets,確認済み（制限付き）,日跨ぎ重複除去不可
oathra,リポジトリ,https://github.com/FORIFOR/oathra,GitHub表示,,view,2026-08-15〜2026-09-13,2026-09-14 23:52 JST,GitHub traffic API,取得不可,API上限14日
oathra,リポジトリ,https://github.com/FORIFOR/oathra,GitHubクローン（14日）,530,clone,2026-08-31〜2026-09-13,2026-09-14 23:52 JST,repos/FORIFOR/oathra/traffic/clones,確認済み,本人・自動処理を除外できない
oathra,リポジトリ,https://github.com/FORIFOR/oathra,GitHubユニーククローン（14日）,199,unique cloner,2026-08-31〜2026-09-13,2026-09-14 23:52 JST,GitHub traffic API,確認済み,外部利用者数とは断定しない
oathra,リリース,https://github.com/FORIFOR/oathra/releases/tag/v0.1.15,tarballダウンロード,3,download,累計（公開〜2026-09-14）,2026-09-14 23:52 JST,GitHub release API,確認済み,公開tarball検証を含む可能性あり
oathra,リリース,https://github.com/FORIFOR/oathra/releases/tag/v0.1.15,checksumダウンロード,2,download,累計,2026-09-14 23:52 JST,GitHub release API,確認済み,外部試用とは断定しない
oathra,製品,https://www.npmjs.com/package/oathra,npmパッケージダウンロード,140,download,2026-09-07〜2026-09-13,2026-09-14 23:58 JST,npm downloads point API,確認済み,package全体。bot/CI/本人を除外不可
