project_id,公開先の種類,名称,正確なURL,公開状態,アクセスできるか,ページが伝えている価値,主要CTAの文言,CTAの遷移先,利用開始までの手順,確認できたリンク切れや導線の問題,計測ツール,計測の状態,確認状態,根拠,確認日時
oathra,公式ホームページ（日本語）,Oathra,https://forifor.github.io/oathra/,公開,HTTP 200,相手の発話で電話結果を検証,その場で判定を試す / v0.1.15の導入手順 / GitHubでStar,#sim / Release / repo,ブラウザ入力→即判定、CLIはRelease npx、実電話はprovider設定,npx oathraはnpm 0.1.0のまま,site/portfolio.js,コードあり・受信確認未確認,確認済み,https://forifor.github.io/oathra/,2026-09-14 23:58 JST
oathra,英語ホームページ,Oathra,https://forifor.github.io/oathra/en/,公開,HTTP 200,Evidence-anchored phone outcomesとconsented follow-up,Try the evidence engine / Install v0.1.15 / Star on GitHub,#sim / Release / repo,ブラウザ→Release CLI→provider設定,npm latest 0.1.0とのバージョン差,site/portfolio.js,コードあり・受信確認未確認,確認済み,https://forifor.github.io/oathra/en/,2026-09-14 23:58 JST
oathra,ブラウザデモ／チェッカー（日本語）,証拠ラボ,https://forifor.github.io/oathra/check.html,公開,HTTP 200,インストール・登録・APIキーなしで文字起こしを検証,判定を試す,同ページ内,文章入力→話者指定→証拠結果。電話なし,Analytics値・外部利用者数未取得,siteイベント,コードあり・受信確認未確認,確認済み,https://forifor.github.io/oathra/check.html,2026-09-14 23:58 JST
oathra,ブラウザデモ／チェッカー（英語）,Evidence lab,https://forifor.github.io/oathra/en/check.html,公開,HTTP 200,自分のtranscriptをlocalで検証,Try it,同ページ内,text input→evidence result。No call,Analytics値未取得,siteイベント,コードあり・受信確認未確認,確認済み,https://forifor.github.io/oathra/en/check.html,2026-09-14 23:58 JST
oathra,製品利用画面／操作デモ,25秒transcript・30秒evidence・48秒intake・battle動画,https://forifor.github.io/oathra/en/#intake-video,公開,MP4 HTTP 200,intakeと証拠判定の実演,Watch / Try it yourself,#sim / scenario / integration,動画→checkerまたはscenario,in-app browserのH.264再生は未確認,site demo events,コードあり・受信確認未確認,確認済み,https://forifor.github.io/oathra/media/oathra-intake.mp4,2026-09-14 23:58 JST
oathra,GitHubリポジトリ,Oathra,https://github.com/FORIFOR/oathra,公開,HTTP 200,ソース・SDK・CLI・シナリオ・Issue・Discussion,Star / Code / Releases,Release / README / docs / Discussion,clone→install→build→demo,npx oathra demoはnpm 0.1.0を取得,GitHub traffic,設定済み・traffic取得済み,確認済み,https://github.com/FORIFOR/oathra,2026-09-14 23:52 JST
oathra,GitHub Release,v0.1.15 — time-pressure safe intake,https://github.com/FORIFOR/oathra/releases/tag/v0.1.15,公開,HTTP 200,scene-aware intake・時間圧力停止・発話provenance,Download source/assets,.tgz / checksum,npx --package=<tgz> oathra demo,npm latestとは別配布,GitHub asset download count,設定済み・現在値取得済み,確認済み,https://github.com/FORIFOR/oathra/releases/tag/v0.1.15,2026-09-14 23:52 JST
oathra,npmパッケージ,oathra,https://www.npmjs.com/package/oathra,公開,registry確認,CLI一般配布,Install / npx oathra,npm registry,npm install / npx oathra,latest 0.1.0でv0.1.15と不一致,npm downloads API,設定済み・取得済み,確認済み,https://registry.npmjs.org/oathra,2026-09-14 23:58 JST
oathra,ドキュメント,初心者向けセットアップ／Integration,https://github.com/FORIFOR/oathra/blob/main/docs/SETUP.ja.md,公開,GitHub HTTP 200,APIキー取得先・carrier選択・段階テスト,SETUP / Integration,README / Release,Node22→local demo→keys→doctor→PSTN,provider credentials・番号・課金テスト未確認,なし,未確認,確認済み,https://github.com/FORIFOR/oathra/blob/main/docs/SETUP.ja.md,2026-09-14 23:58 JST
oathra,GitHub Discussion,技術フィードバック #14,https://github.com/FORIFOR/oathra/discussions/14,公開,HTTP 200,完了の証拠と追加項目の意見を募集,Share your use case,Discussion #14,スレッド→redacted/synthetic trace（今回未投稿）,外部返信なし,GitHub comments,受信確認済み（外部返信0）,確認済み,https://github.com/FORIFOR/oathra/discussions/14,2026-09-14 23:52 JST
oathra,非公開問い合わせ先,Business inquiry form,https://forifor.github.io/oathra/#business,公開,フォーム表示・preflight 204,業務条件を非公開相談,電話業務の試験導入を相談する / 相談を送信,Cloud Run /api/site/leads,入力→同意→送信（今回未送信）,lead件数・返信未確認,leads POST,コードあり・preflightのみ確認,確認済み,https://forifor.github.io/oathra/#business,2026-09-14 23:58 JST
oathra,外部配布候補PR,Voice/AI agent lists 4件,https://github.com/caramaschiHG/awesome-ai-agents-2026/pull/570,PR公開・未マージ,GitHub HTTP 200,関連開発者への発見導線,Mergeは相手側操作,各PR→repo/release,maintainer merge待ち,4件OPEN,GitHub PR,状態取得済み,確認済み,https://github.com/caramaschiHG/awesome-ai-agents-2026/pull/570,2026-09-14 23:58 JST
